Timestamp,Motion,Device
1610180896,0,c0:98:e5:42:01:03
1610180898,1,c0:98:e5:42:01:03
1610180901,0,c0:98:e5:42:01:03
1610180964,1,c0:98:e5:42:01:03
1610180967,0,c0:98:e5:42:01:03
1610180986,1,c0:98:e5:42:01:03
1610180993,0,c0:98:e5:42:01:03
1610180999,1,c0:98:e5:42:01:03
1610181008,0,c0:98:e5:42:01:03
1610181069,1,c0:98:e5:42:01:03
1610181077,0,c0:98:e5:42:01:03
1610181082,1,c0:98:e5:42:01:03
1610181085,0,c0:98:e5:42:01:03
1610181086,1,c0:98:e5:42:01:03
1610181099,0,c0:98:e5:42:01:03
1610181108,1,c0:98:e5:42:01:03
1610181116,0,c0:98:e5:42:01:03
1610181117,1,c0:98:e5:42:01:03
1610181130,0,c0:98:e5:42:01:03
1610181185,1,c0:98:e5:42:01:03
1610181188,0,c0:98:e5:42:01:03
1610181202,1,c0:98:e5:42:01:03
1610181208,0,c0:98:e5:42:01:03
1610181210,1,c0:98:e5:42:01:03
1610181214,0,c0:98:e5:42:01:03
1610181215,1,c0:98:e5:42:01:03
1610181219,0,c0:98:e5:42:01:03
1610181270,1,c0:98:e5:42:01:03
1610181277,0,c0:98:e5:42:01:03
1610181498,1,c0:98:e5:42:01:03
1610181503,0,c0:98:e5:42:01:03
1610181836,1,c0:98:e5:42:01:03
1610181840,0,c0:98:e5:42:01:03
1610181891,1,c0:98:e5:42:01:03
1610181895,0,c0:98:e5:42:01:03
1610181897,1,c0:98:e5:42:01:03
1610181903,0,c0:98:e5:42:01:03
1610181905,1,c0:98:e5:42:01:03
1610181911,0,c0:98:e5:42:01:03
1610181916,1,c0:98:e5:42:01:03
1610181925,0,c0:98:e5:42:01:03
1610182035,1,c0:98:e5:42:01:03
1610182039,0,c0:98:e5:42:01:03
1610182040,1,c0:98:e5:42:01:03
1610182045,0,c0:98:e5:42:01:03
1610182066,1,c0:98:e5:42:01:03
1610182072,0,c0:98:e5:42:01:03
1610182076,1,c0:98:e5:42:01:03
1610182091,0,c0:98:e5:42:01:03
1610182095,1,c0:98:e5:42:01:03
1610182103,0,c0:98:e5:42:01:03
1610182108,1,c0:98:e5:42:01:03
1610182112,0,c0:98:e5:42:01:03
1610182129,1,c0:98:e5:42:01:03
1610182135,0,c0:98:e5:42:01:03
1610182147,1,c0:98:e5:42:01:03
1610182167,0,c0:98:e5:42:01:03
1610182171,1,c0:98:e5:42:01:03
1610182203,0,c0:98:e5:42:01:03
1610182205,1,c0:98:e5:42:01:03
1610182209,0,c0:98:e5:42:01:03
1610182227,1,c0:98:e5:42:01:03
1610182231,0,c0:98:e5:42:01:03
1610182250,1,c0:98:e5:42:01:03
1610182268,0,c0:98:e5:42:01:03
1610182278,1,c0:98:e5:42:01:03
1610182282,0,c0:98:e5:42:01:03
1610182285,1,c0:98:e5:42:01:03
1610182293,0,c0:98:e5:42:01:03
1610182294,1,c0:98:e5:42:01:03
1610182306,0,c0:98:e5:42:01:03
1610182318,1,c0:98:e5:42:01:03
1610182329,0,c0:98:e5:42:01:03
1610182332,1,c0:98:e5:42:01:03
1610182335,0,c0:98:e5:42:01:03
1610182336,1,c0:98:e5:42:01:03
1610182339,0,c0:98:e5:42:01:03
1610182341,1,c0:98:e5:42:01:03
1610182352,0,c0:98:e5:42:01:03
1610182393,1,c0:98:e5:42:01:03
1610182398,0,c0:98:e5:42:01:03
1610182429,1,c0:98:e5:42:01:03
1610182432,0,c0:98:e5:42:01:03
1610182458,1,c0:98:e5:42:01:03
1610182461,0,c0:98:e5:42:01:03
1610182462,1,c0:98:e5:42:01:03
1610182468,0,c0:98:e5:42:01:03
1610182481,1,c0:98:e5:42:01:03
1610182486,0,c0:98:e5:42:01:03
1610182487,1,c0:98:e5:42:01:03
1610182500,0,c0:98:e5:42:01:03
1610182502,1,c0:98:e5:42:01:03
1610182505,0,c0:98:e5:42:01:03
1610182515,1,c0:98:e5:42:01:03
1610182519,0,c0:98:e5:42:01:03
1610182521,1,c0:98:e5:42:01:03
1610182538,0,c0:98:e5:42:01:03
1610182544,1,c0:98:e5:42:01:03
1610182548,0,c0:98:e5:42:01:03
1610182548,1,c0:98:e5:42:01:03
1610182559,0,c0:98:e5:42:01:03
1610182563,1,c0:98:e5:42:01:03
1610182571,0,c0:98:e5:42:01:03
1610182572,1,c0:98:e5:42:01:03
1610182579,0,c0:98:e5:42:01:03
1610182580,1,c0:98:e5:42:01:03
1610182585,0,c0:98:e5:42:01:03
1610182593,1,c0:98:e5:42:01:03
1610182608,0,c0:98:e5:42:01:03
1610182616,1,c0:98:e5:42:01:03
1610182627,0,c0:98:e5:42:01:03
1610182632,1,c0:98:e5:42:01:03
1610182639,0,c0:98:e5:42:01:03
1610182645,1,c0:98:e5:42:01:03
1610182653,0,c0:98:e5:42:01:03
1610182655,1,c0:98:e5:42:01:03
1610182666,0,c0:98:e5:42:01:03
1610182668,1,c0:98:e5:42:01:03
1610182671,0,c0:98:e5:42:01:03
1610182672,1,c0:98:e5:42:01:03
